Object,a (AU),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),H (mag),MOID (AU),ref,class,Object
(2005 WD),2.30542067,0.562428482,26.1374196,160.7051624,227.7459615,1.0088,3.6,3.5,21.9,0.038481,15,APO*,(2005 WD)
(2005 WA1),2.00751598,0.584828399,10.9323857,241.6845524,247.2545642,0.8335,3.18,2.84,21.6,0.021337,24,APO*,(2005 WA1)
(2005 WY55),2.48845066,0.720620526,7.2744246,286.1974562,248.183752,0.6952,4.28,3.93,20.7,0.003759,31,APO*,(2005 WY55)
(2005 XT77),0.84102667,0.266277361,17.2193585,149.9306455,84.8207738,0.6171,1.06,0.77,21.2,0.027226,25,ATE*,(2005 XT77)
(2005 YU3),2.55428397,0.841386561,3.0241575,341.4415425,2.537228,0.4051,4.7,4.08,19.8,0.04278,19,APO*,(2005 YU3)
(2005 YS8),1.69588231,0.52935137,17.3717607,298.3494474,56.3461464,0.7982,2.59,2.21,20,0.007456,8,APO*,(2005 YS8)
(2005 YQ96),0.74337454,0.333586157,22.2245188,340.1098929,282.6959503,0.4954,0.99,0.64,20.4,0.018746,30,ATE*,(2005 YQ96)
(2006 AR3),2.4624858,0.639886078,4.7496318,40.2410837,12.8242789,0.8868,4.04,3.86,20.6,0.006324,24,APO*,(2006 AR3)
(2006 AM4),0.98222348,0.649153118,4.1343155,139.7678641,123.2087118,0.3446,1.62,0.97,21.8,0.0112,48,ATE*,(2006 AM4)
(2006 BX39),1.90221193,0.63631617,14.3402998,79.439987,140.1775375,0.6918,3.11,2.62,21.4,0.010879,19,APO*,(2006 BX39)
(2006 BE55),1.19575389,0.424468664,2.4246975,125.9269067,125.7042993,0.6882,1.7,1.31,21.9,0.023703,22,APO*,(2006 BE55)
(2006 BX147),0.78722546,0.678245645,11.5869579,201.6919298,141.03408,0.2533,1.32,0.7,21.49,0.038124,8,ATE*,(2006 BX147)
(2006 CF),2.29076182,0.681841123,4.6594082,267.7627076,112.7930702,0.7288,3.85,3.47,20.3,0.02194,31,APO*,(2006 CF)
(2006 CU),1.50972458,0.453842745,3.7927308,253.0783755,148.8633119,0.8245,2.19,1.86,21.7,0.008678,12,APO*,(2006 CU)
(2006 CM10),2.13524949,0.70144777,18.3147981,92.1768228,143.1501426,0.6375,3.63,3.12,21.7,0.018423,16,APO*,(2006 CM10)
(2006 CT10),2.88553073,0.66373021,12.912933,30.5168364,111.2319815,0.9703,4.8,4.9,21.2,0.032498,16,APO*,(2006 CT10)
(2006 CY10),1.95917473,0.485646276,6.7819221,167.3467766,32.5399633,1.0077,2.91,2.74,20.5,0.009518,22,APO*,(2006 CY10)
(2006 DU62),1.64039876,0.738221178,16.461546,71.6320833,322.3175485,0.4294,2.85,2.1,18,0.004258,37,APO*,(2006 DU62)
(2006 GB),0.95901079,0.179400237,10.0621976,242.8189174,183.830384,0.787,1.13,0.94,20.3,0.010183,39,ATE*,(2006 GB)
(2006 GC1),1.70546103,0.816353229,5.9808883,232.649542,196.3369672,0.3132,3.1,2.23,21,0.009961,13,APO*,(2006 GC1)
(2006 HC2),1.70954822,0.486944067,3.7485709,66.6200107,198.2205826,0.8771,2.54,2.24,21.8,0.015871,18,APO*,(2006 HC2)
(2006 HD2),2.0297677,0.602518298,4.0188534,95.7295121,30.3553511,0.8068,3.25,2.89,20.9,0.027746,16,APO*,(2006 HD2)
(2006 HV5),0.84228597,0.316281701,32.0021641,317.5423898,35.9670127,0.5759,1.11,0.77,19.7,0.01542,29,ATE*,(2006 HV5)
(2006 HQ30),2.59537052,0.606748744,12.0190166,180.018129,85.4907701,1.0206,4.17,4.18,21.2,0.005127,38,AMO*,(2006 HQ30)
(2006 HT30),2.56469413,0.617541461,1.6404791,224.050526,73.6002606,0.9809,4.15,4.11,20.2,0.009611,23,APO*,(2006 HT30)
(2006 HW57),2.14630394,0.518656279,7.1178825,34.0380379,250.9398121,1.0331,3.26,3.14,20.4,0.049779,59,AMO*,(2006 HW57)
(2006 KK21),2.71778485,0.872084402,12.4421322,284.8292246,189.8723503,0.3476,5.09,4.48,20.4,0.032692,18,APO*,(2006 KK21)
(2006 KD40),2.01710022,0.512593421,21.105469,217.8832965,86.7318778,0.9831,3.05,2.86,18.6,0.03668,27,APO*,(2006 KD40)
(2006 KY86),2.2993162,0.645679179,7.4093035,321.1653206,222.7310184,0.8147,3.78,3.49,19.8,0.0446,36,APO*,(2006 KY86)
(2006 KN89),1.79267557,0.531603493,5.820859,108.312275,217.6504591,0.8397,2.75,2.4,21.4,0.024925,11,APO*,(2006 KN89)
(2006 LK),2.85550968,0.638673272,10.1757632,194.3049781,157.7741426,1.0318,4.68,4.83,19.7,0.033243,17,AMO*,(2006 LK)
(2006 LD1),2.3269716,0.697819843,5.9561467,274.5489797,66.8976477,0.7032,3.95,3.55,20.9,0.022501,9,APO*,(2006 LD1)
(2006 ON1),2.55471732,0.610253029,3.5054507,51.3088868,288.0925565,0.9957,4.11,4.08,21.3,0.032431,26,APO*,(2006 ON1)
(2006 OC5),2.39938724,0.65256439,4.7466633,245.721121,149.1912654,0.8336,3.97,3.72,19.2,0.014051,35,APO*,(2006 OC5)
(2006 PA1),2.03347346,0.550747783,2.4301858,85.7337511,322.3421959,0.9135,3.15,2.9,19.7,0.029712,56,APO*,(2006 PA1)
(2006 PY17),1.89648747,0.639590763,2.8397879,132.8074267,310.3069711,0.6835,3.11,2.61,19.2,0.025177,30,APO*,(2006 PY17)
(2006 QQ23),0.80360122,0.284576345,3.4382903,124.7810755,4.8976376,0.5749,1.03,0.72,20.1,0.033258,13,ATE*,(2006 QQ23)
(2006 RZ),2.46310262,0.642873645,9.0251575,221.0592457,197.4585857,0.8796,4.05,3.87,20.3,0.011841,56,APO*,(2006 RZ)
(2006 RK1),1.94967867,0.517016948,9.5666449,131.8272532,153.775992,0.9417,2.96,2.72,21.8,0.026714,11,APO*,(2006 RK1)
(2006 SF6),0.94921046,0.280517921,5.8664941,305.6351423,228.1092389,0.6829,1.22,0.92,19.9,0.019252,47,ATE*,(2006 SF6)
(2006 SS134),1.17132154,0.441893297,19.5375311,256.0757793,9.052666,0.6537,1.69,1.27,21.4,0.030365,29,APO*,(2006 SS134)
(2006 TB),1.56183078,0.324643902,27.5715663,180.9256474,169.3358066,1.0548,2.07,1.95,20.1,0.04936,16,AMO*,(2006 TB)
(2006 TU7),0.85089872,0.470151215,2.9123381,68.6434167,91.8646308,0.4508,1.25,0.78,21.9,0.02272,20,ATE*,(2006 TU7)
(2006 TA8),2.96483682,0.691360065,21.6887957,217.9818652,208.0310211,0.9151,5.01,5.11,20.9,0.00519,13,APO*,(2006 TA8)
(2006 UO),2.82870067,0.665199533,2.2922007,77.7890572,25.9973296,0.9471,4.71,4.76,21,0.031092,18,APO*,(2006 UO)
(2006 UF17),2.48351812,0.81017696,3.7388844,235.4061519,47.9746315,0.4714,4.5,3.91,21.7,0.026782,16,APO*,(2006 UF17)
(2006 UQ17),1.62368941,0.38080128,1.7436575,10.2924069,82.1118766,1.0054,2.24,2.07,21.9,0.022757,84,APO*,(2006 UQ17)
(2006 UL217),1.43045768,0.348924781,9.9219108,310.0918171,45.2382818,0.9313,1.93,1.71,20.8,0.021798,37,APO*,(2006 UL217)
(2006 VW2),1.23582832,0.294537241,10.0481811,299.647906,229.8388185,0.8718,1.6,1.37,21.2,0.015573,21,APO*,(2006 VW2)
(2006 VD13),1.94797966,0.483837713,11.7136241,162.8367982,314.0359981,1.0055,2.89,2.72,18.9,0.032243,75,APO*,(2006 VD13)
(2006 VG13),0.81754699,0.30365297,5.8606625,115.1976461,96.612425,0.5693,1.07,0.74,21.5,0.045444,17,ATE*,(2006 VG13)
(2006 VT13),2.58348212,0.627799821,2.153667,41.9987569,323.4422295,0.9616,4.21,4.15,20.8,0.008675,21,APO*,(2006 VT13)
(2006 WT1),2.4698845,0.601484259,13.6951336,170.5989144,244.877766,0.9843,3.96,3.88,20,0.003093,24,APO*,(2006 WT1)
(2006 WJ3),1.75181105,0.424190974,15.3652883,178.4678584,232.5903024,1.0087,2.49,2.32,20,0.020373,37,APO*,(2006 WJ3)
(2006 XD2),1.26675318,0.425176663,3.5609571,109.4850244,65.631179,0.7282,1.81,1.43,21,0.017706,36,APO*,(2006 XD2)
(2007 AG),0.72030155,0.37447966,11.9375119,5.6403439,283.262992,0.4506,0.99,0.61,20.1,0.004062,34,ATE*,(2007 AG)
(2007 AC2),2.41756603,0.743261744,9.5070519,90.9712118,294.5454281,0.6207,4.21,3.76,21.8,0.017217,15,APO*,(2007 AC2)
(2007 AV2),1.43783972,0.474027775,12.3062675,293.3091265,285.9222316,0.7563,2.12,1.72,21.2,0.03798,15,APO*,(2007 AV2)
(2007 AB12),2.30119542,0.72105532,7.8057701,283.1018657,65.4284814,0.6419,3.96,3.49,18.9,0.007852,12,APO*,(2007 AB12)
(2007 BD7),1.56241082,0.498208276,4.849001,219.8649641,343.6180062,0.784,2.34,1.95,21.1,0.037727,21,APO*,(2007 BD7)
(2007 BJ29),2.18333487,0.826331468,11.0743525,119.4077186,242.1578237,0.3792,3.99,3.23,18.8,0.022988,28,APO*,(2007 BJ29)
(2007 CA19),2.81106441,0.820996475,9.5893805,102.3745716,170.1481378,0.5032,5.12,4.71,17.6,0.019446,67,APO*,(2007 CA19)
(2007 CS26),2.33096179,0.568182195,21.9490343,24.1109926,143.7088171,1.0066,3.66,3.56,21.1,0.048083,19,APO*,(2007 CS26)
(2007 DY40),1.71830308,0.592447525,5.8887834,114.9508406,160.248475,0.7003,2.74,2.25,21.1,0.02478,23,APO*,(2007 DY40)
(2007 DL41),1.45668024,0.476175425,4.6656806,140.1199695,150.8058755,0.763,2.15,1.76,20.7,0.045797,34,APO*,(2007 DL41)
(2007 DM41),1.18159471,0.527602685,2.265663,274.4349333,1.7712448,0.5582,1.81,1.28,21.9,0.00759,25,APO*,(2007 DM41)
(2007 DS84),1.86619149,0.446867401,8.9138976,172.7785423,30.6339384,1.0323,2.7,2.55,20.8,0.029675,53,AMO*,(2007 DS84)
(2007 DT103),2.20640314,0.575226808,5.4534718,134.0893358,137.0339274,0.9372,3.48,3.28,19.2,0.013047,72,APO*,(2007 DT103)
(2007 EC),0.92833813,0.19584941,5.8511301,46.2642545,307.6848589,0.7465,1.11,0.89,22.2,0.024072,43,ATE,(2007 EC)
(2007 EF),0.82029768,0.410128766,21.7350068,226.0062761,158.3769797,0.4839,1.16,0.74,21.4,0.025117,25,ATE*,(2007 EF)
(2007 ED125),1.92292854,0.584526412,3.7681987,290.268819,173.4702938,0.7989,3.05,2.67,21,0.008829,36,APO*,(2007 ED125)
(2007 FE),1.79410984,0.456906254,6.9955483,135.1496026,122.6674594,0.9744,2.61,2.4,19.2,0.027151,23,APO*,(2007 FE)
(2007 FF1),1.52308217,0.483723216,8.2434403,234.5547632,21.6414292,0.7863,2.26,1.88,21.8,0.03479,10,APO*,(2007 FF1)
(2007 FT3),1.12791488,0.307111804,26.8215978,277.3694884,9.8750068,0.7815,1.47,1.2,20,0.016134,6,APO*,(2007 FT3)
(2007 GQ3),1.80571324,0.450267131,10.1960472,209.6084635,34.5208808,0.9927,2.62,2.43,22,0.021008,22,APO*,(2007 GQ3)
(2007 GS3),1.06119709,0.129043775,15.0897104,61.1730131,215.4436301,0.9243,1.2,1.09,19.4,0.021529,42,APO*,(2007 GS3)
(2007 HA),0.8925671,0.470271058,32.9848681,133.1566196,205.8051647,0.4728,1.31,0.84,20.3,0.015323,29,ATE*,(2007 HA)
(2007 HE15),2.14497932,0.540133586,9.5388963,342.2566053,297.7421851,0.9864,3.3,3.14,19.7,0.00995,37,APO*,(2007 HE15)
(2007 JY2),2.19807726,0.685805102,1.6116672,107.573585,223.4952379,0.6906,3.71,3.26,21.7,0.001294,17,APO*,(2007 JY2)
(2007 JH22),2.18183585,0.606746324,5.567039,22.7519508,150.9283094,0.858,3.51,3.22,21.7,0.04009,17,APO*,(2007 JH22)
(2007 KG7),1.77936623,0.866898602,4.7385618,318.2935186,66.2826974,0.2368,3.32,2.37,20.6,0.011224,8,APO*,(2007 KG7)
(2007 LE),1.83885063,0.516929985,29.5236983,120.1532947,73.738692,0.8883,2.79,2.49,19.7,0.045276,41,APO*,(2007 LE)
(2007 LF),1.68273783,0.419917498,6.9858613,333.726635,239.4641856,0.9761,2.39,2.18,20.5,0.003408,35,APO*,(2007 LF)
(2007 LU19),2.37883481,0.626455919,2.6118598,142.6446635,64.0057297,0.8886,3.87,3.67,21.5,0.00795,8,APO*,(2007 LU19)
(2007 ML24),0.75858622,0.358645145,33.4386326,201.4568156,281.891861,0.4865,1.03,0.66,19.3,0.022601,9,ATE*,(2007 ML24)
(2007 PR25),1.95886323,0.847521567,3.4934813,291.3414906,154.9672568,0.2987,3.62,2.74,22,0.011884,9,APO*,(2007 PR25)
(2007 PV27),1.2735198,0.370929434,24.5980884,107.6309846,324.4804574,0.8011,1.75,1.44,20.2,2.3E-05,25,APO*,(2007 PV27)
(2007 PF28),2.13993818,0.800624738,5.884987,261.2670502,180.1078681,0.4267,3.85,3.13,19.1,0.014169,36,APO*,(2007 PF28)
(2007 RF2),1.73066597,0.66429633,6.0649047,83.2548856,12.2542995,0.581,2.88,2.28,20.7,0.007321,19,APO*,(2007 RF2)
(2007 RU9),1.91873693,0.629629578,5.6430605,285.9599282,164.33821,0.7106,3.13,2.66,20.8,0.000913,39,APO*,(2007 RU9)
(2007 RV9),1.94001187,0.566553004,6.3919985,116.4255934,340.6878645,0.8409,3.04,2.7,20.2,0.017299,35,APO*,(2007 RV9)
(2007 RU17),2.03897767,0.828015633,9.0809993,129.8376957,17.4663483,0.3507,3.73,2.91,18.1,0.038942,63,APO*,(2007 RU17)
(2007 SQ6),1.0429755,0.145546716,9.1018176,283.7484988,191.416382,0.8912,1.19,1.07,21.9,0.010041,18,APO*,(2007 SQ6)
(2007 SR11),2.68149055,0.649394328,1.4722596,99.4769385,218.4984964,0.9401,4.42,4.39,22,0.018918,15,APO*,(2007 SR11)
(2007 TH1),1.36154035,0.417621191,20.1094579,282.3642713,13.7172791,0.7929,1.93,1.59,22,0.022007,16,APO*,(2007 TH1)
(2007 TS19),1.08383883,0.500357789,15.6315245,117.9993635,24.2051639,0.5415,1.63,1.13,20.6,0.027984,29,APO*,(2007 TS19)
(2007 TL23),1.13437829,0.736507884,2.1215238,101.9262747,136.7754855,0.2989,1.97,1.21,21.4,0.017014,21,APO*,(2007 TL23)
(2007 TQ24),0.79350924,0.53932809,10.590234,29.9526685,183.5539522,0.3655,1.22,0.71,22.1,0.017052,18,ATE,(2007 TQ24)
(2007 TR24),1.87287524,0.668496638,3.5703853,36.9805133,87.17558,0.6209,3.12,2.56,20.5,0.046577,16,APO*,(2007 TR24)
(2007 TU24),2.04306488,0.53422197,5.6227045,334.2623969,127.0361057,0.9516,3.13,2.92,20.3,0.000586,80,APO*,(2007 TU24)
(2007 UL12),1.96616652,0.805935566,4.1843983,95.6380907,67.1412516,0.3816,3.55,2.76,20.9,0.020368,17,APO*,(2007 UL12)
(2007 US12),0.9061339,0.514637853,8.8052925,44.6314927,211.1165259,0.4398,1.37,0.86,22,0.013932,21,ATE*,(2007 US12)
(2007 UR51),1.64313826,0.690561271,7.254949,72.9582119,208.3511639,0.5085,2.78,2.11,21.4,0.01215,16,APO*,(2007 UR51)
(2007 VG),1.95602796,0.664606271,51.1515315,261.5789429,33.4210607,0.656,3.26,2.74,21,0.008218,14,APO*,(2007 VG)
(2007 VN3),2.24455072,0.576977964,15.6140144,320.2350087,21.9466776,0.9495,3.54,3.36,21.4,0.029459,10,APO*,(2007 VN3)
(2007 VT6),1.94986122,0.644270869,7.3884793,294.1183221,213.4399396,0.6936,3.21,2.72,20.5,0.027098,41,APO*,(2007 VT6)
(2007 VD12),1.1458609,0.364783356,22.8586251,91.2885485,62.7204797,0.7279,1.56,1.23,20,0.01114,35,APO*,(2007 VD12)
(2007 VW137),2.22742514,0.739486354,5.9471038,245.0223786,299.7110424,0.5803,3.87,3.32,18.2,0.039194,28,APO*,(2007 VW137)
(2007 VZ137),1.70423912,0.585268069,5.218152,63.7232915,226.3950421,0.7068,2.7,2.22,21.6,0.023245,11,APO*,(2007 VZ137)
(2007 VM184),1.18213064,0.523308352,23.2772823,110.1517668,65.7735029,0.5635,1.8,1.29,21,0.033546,29,APO*,(2007 VM184)
(2007 VP243),2.26048232,0.581783311,5.6447552,312.0477117,13.9779062,0.9454,3.58,3.4,21.4,0.02454,11,APO*,(2007 VP243)
(2007 XN),2.21936785,0.567552114,24.7292204,215.4004926,256.5648613,0.9598,3.48,3.31,19.9,0.039278,9,APO*,(2007 XN)
(2007 XY9),2.04767599,0.620350875,3.3382678,127.1974066,234.0935504,0.7774,3.32,2.93,21,0.010486,38,APO*,(2007 XY9)
(2007 XD10),2.15220295,0.666247763,18.5159853,80.2468456,270.1266308,0.7183,3.59,3.16,20.8,0.028168,13,APO*,(2007 XD10)
(2007 XK11),2.76928123,0.621445676,3.4383195,197.096562,167.4880781,1.0483,4.49,4.61,19.2,0.048983,22,AMO*,(2007 XK11)
(2007 XH16),1.18705703,0.234803194,27.4281941,58.2930671,91.3017276,0.9083,1.47,1.29,19.7,0.014228,41,APO*,(2007 XH16)
(2007 XJ16),2.25695332,0.555826355,6.2390718,32.8519782,309.1599039,1.0025,3.51,3.39,18.6,0.026852,16,APO*,(2007 XJ16)
(2007 YB2),3.08820473,0.69048197,16.4848623,213.8519514,330.680256,0.9559,5.22,5.43,18.4,0.028895,27,APO*,(2007 YB2)
(2007 YQ56),1.14076343,0.287942509,26.4561904,273.0814117,276.0368527,0.8123,1.47,1.22,19.9,0.011969,37,APO*,(2007 YQ56)
(2008 AX1),1.54660582,0.476374006,12.9074208,126.4203035,263.2894679,0.8098,2.28,1.92,21.5,0.030029,16,APO*,(2008 AX1)
(2008 AZ30),1.33278344,0.653938433,2.3414232,25.8315476,326.674004,0.4612,2.2,1.54,21.9,0.027985,13,APO*,(2008 AZ30)
(2008 AH33),2.10318318,0.547927735,36.7758206,176.901163,335.8933033,0.9508,3.26,3.05,19.5,0.038503,16,APO*,(2008 AH33)
(2008 AK33),2.21922296,0.72002023,34.0898861,88.658603,283.605414,0.6213,3.82,3.31,20.6,0.021566,14,APO*,(2008 AK33)
(2008 BD15),1.078475,0.139843694,32.1472854,113.6621428,130.3537778,0.9277,1.23,1.12,20.6,0.01241,21,APO*,(2008 BD15)
(2008 CH),2.33212539,0.689332833,22.1223671,294.4760483,133.4532583,0.7245,3.94,3.56,20.2,0.020599,22,APO*,(2008 CH)
(2008 CS1),1.23063447,0.372403834,29.8506554,94.9833802,134.1360687,0.7723,1.69,1.37,20.1,0.010742,18,APO*,(2008 CS1)
(2008 CC6),1.26159613,0.773714852,9.148158,136.5417194,146.8237944,0.2855,2.24,1.42,22,0.020175,14,APO*,(2008 CC6)
(2008 CB22),2.36047596,0.655885902,7.3075295,33.1886879,51.4125428,0.8123,3.91,3.63,19.7,0.049466,24,APO*,(2008 CB22)
(2008 CL116),3.0795547,0.743255658,18.7281506,113.2069346,126.4820948,0.7907,5.37,5.4,20.3,0.026704,13,APO*,(2008 CL116)
(2008 DD),1.94351202,0.464097877,15.3543369,186.7542375,355.5398784,1.0415,2.85,2.71,20.4,0.048186,12,AMO*,(2008 DD)
(2008 DJ),1.98318886,0.603378086,5.0505852,117.8557488,319.21937,0.7866,3.18,2.79,20.4,0.000524,24,APO*,(2008 DJ)
(2008 EE5),0.94466976,0.07161399,44.8107549,20.0737655,321.2797397,0.877,1.01,0.92,19.7,0.020841,29,ATE*,(2008 EE5)
(2008 EL6),1.72840357,0.480356647,13.1451979,38.2920669,177.7120652,0.8982,2.56,2.27,21,0.020571,15,APO*,(2008 EL6)
(2008 EM7),1.23830646,0.243420314,33.1334362,42.7164098,347.7976711,0.9369,1.54,1.38,21.2,0.017216,18,APO*,(2008 EM7)
(2008 ER7),1.48656519,0.62403818,2.2388118,80.7603379,323.651194,0.5589,2.41,1.81,20,0.001263,27,APO*,(2008 ER7)
(2008 EU68),1.49867031,0.654529184,3.018152,170.5820775,230.4672499,0.5177,2.48,1.83,21.5,0.049155,5,APO*,(2008 EU68)
(2008 EY68),0.74511657,0.760022345,19.7955719,198.9804273,175.4963143,0.1788,1.31,0.64,22,0.039327,14,ATE*,(2008 EY68)
(2008 EC69),2.75735198,0.617418611,24.7550961,178.1173798,93.32457,1.0549,4.46,4.58,17.1,0.039138,49,AMO*,(2008 EC69)
(2008 FW5),2.13754978,0.545589874,13.4794269,359.6577335,160.7172164,0.9713,3.3,3.13,21.5,0.019585,17,APO*,(2008 FW5)
(2008 FW6),2.26692761,0.63446882,6.4957506,34.4694162,80.1592872,0.8286,3.71,3.41,21,0.03562,16,APO*,(2008 FW6)
(2008 HH),1.36605034,0.35560118,16.3215847,116.0016073,196.6815554,0.8803,1.85,1.6,21.9,0.02414,15,APO*,(2008 HH)
(2008 HS3),1.35097855,0.22592236,8.1775116,4.6390224,227.8065231,1.0458,1.66,1.57,21.7,0.036571,66,AMO*,(2008 HS3)
(2008 HB38),1.8537885,0.49244625,1.0211485,209.5200175,102.6826458,0.9409,2.77,2.52,21.2,0.002983,50,APO*,(2008 HB38)
(2008 JG),1.05204088,0.296195261,7.90654,242.2952921,128.841296,0.7404,1.36,1.08,20.8,0.049358,31,APO*,(2008 JG)
(2008 JW2),2.43864679,0.636817977,8.8577427,142.1942974,35.6076506,0.8857,3.99,3.81,19.6,0.021073,10,APO*,(2008 JW2)
(2008 KV2),0.84967642,0.411914258,5.0571103,347.5215113,67.0550114,0.4997,1.2,0.78,21.3,0.043647,31,ATE*,(2008 KV2)
(2008 KZ5),1.84063366,0.453906894,8.3794462,194.2766141,142.6876829,1.0052,2.68,2.5,20.1,0.00285,65,APO*,(2008 KZ5)
(2008 KE6),1.68288663,0.518996641,3.4213204,224.1935847,113.7574854,0.8095,2.56,2.18,20.6,0.022452,8,APO*,(2008 KE6)
(2008 LW16),1.0660383,0.103311136,29.6899436,347.915321,97.9971563,0.9559,1.18,1.1,19.9,0.025056,19,APO*,(2008 LW16)
(2008 MP1),1.89078849,0.565053094,3.7852267,243.3598353,105.5135253,0.8224,2.96,2.6,21.9,0.001676,15,APO*,(2008 MP1)
(2008 NO3),2.78717238,0.673471767,11.6754542,206.6827719,36.4387876,0.9101,4.66,4.65,18.7,0.036859,16,APO*,(2008 NO3)
(2008 OO),2.10622828,0.700907592,5.4887935,253.4756058,306.1677878,0.63,3.58,3.06,19.7,0.01488,26,APO*,(2008 OO)
(2008 OX1),1.20634758,0.277529799,29.7374778,281.3142632,304.8555307,0.8716,1.54,1.33,21.6,0.036341,25,APO*,(2008 OX1)
(2008 OS7),1.90827198,0.644764217,7.0382464,73.0778371,137.1348168,0.6779,3.14,2.64,20.4,0.010537,31,APO*,(2008 OS7)
(2008 OP8),2.20955435,0.676066901,5.2189145,37.4441686,186.1833102,0.7157,3.7,3.28,19.7,0.049869,25,APO*,(2008 OP8)
(2008 ON13),2.21519023,0.816068936,5.8954021,46.6582961,143.9565046,0.4074,4.02,3.3,19.9,0.042196,12,APO*,(2008 ON13)
(2008 PF1),1.35985085,0.494498681,2.7542316,284.1492075,129.6155831,0.6874,2.03,1.59,22.1,0.007659,25,APO,(2008 PF1)
(2008 PJ9),2.54992906,0.660788809,4.767439,135.0132861,115.3424698,0.865,4.23,4.07,21.9,0.00874,14,APO*,(2008 PJ9)
(2008 QS11),1.86142386,0.482274702,12.4985236,30.6066466,11.5745808,0.9637,2.76,2.54,19.9,0.008409,53,APO*,(2008 QS11)
(2008 RV),2.26846039,0.564057058,2.2809449,192.3618068,119.9281644,0.9889,3.55,3.42,21.7,0.00656,21,APO*,(2008 RV)
(2008 RM98),2.56688367,0.636728114,1.8540334,166.059944,285.3165183,0.9325,4.2,4.11,20.4,0.008702,29,APO*,(2008 RM98)
(2008 SC),1.09154763,0.70190456,16.817868,122.5330166,6.8726308,0.3254,1.86,1.14,21.7,0.034425,7,APO*,(2008 SC)
(2008 SR1),2.37234938,0.650101854,16.8739727,116.7598019,178.0744469,0.8301,3.91,3.65,20.3,0.030263,23,APO*,(2008 SR1)
(2008 SV11),2.61939395,0.722226736,8.3013348,102.9842018,15.5633941,0.7276,4.51,4.24,18.4,0.018696,91,APO*,(2008 SV11)
(2008 SH82),2.4436609,0.590820785,4.5656586,157.4293007,269.074169,0.9999,3.89,3.82,21.4,0.027273,53,APO*,(2008 SH82)
(2008 SJ82),2.37656677,0.578517848,9.7108632,218.2431084,135.3125983,1.0017,3.75,3.66,20.7,0.046738,22,APO*,(2008 SJ82)
(2008 SY148),1.24976537,0.19308471,28.7530961,164.3158824,187.2845025,1.0085,1.49,1.4,21.8,0.01305,8,APO*,(2008 SY148)
(2008 TD2),1.53020422,0.334366914,4.0167952,315.945766,16.0235613,1.0186,2.04,1.89,21.8,0.040499,21,AMO*,(2008 TD2)
(2008 TC4),0.78051748,0.554383549,10.6452206,324.2572005,212.6241701,0.3478,1.21,0.69,21.5,0.003197,25,ATE*,(2008 TC4)
(2008 UU1),1.60768317,0.750384036,12.0844555,118.9248822,157.2331566,0.4013,2.81,2.04,19.9,0.021504,15,APO*,(2008 UU1)
(2008 UE7),1.64855616,0.447915135,3.9508442,48.6953829,81.1987437,0.9101,2.39,2.12,20.4,0.009155,56,APO*,(2008 UE7)
(2008 UL90),0.69502413,0.379828433,24.3094311,183.6346129,81.1462371,0.431,0.96,0.58,18.6,0.025944,27,IEO*,(2008 UL90)
(2008 UW91),1.14640862,0.571600518,7.3183786,282.7701412,248.0867675,0.4911,1.8,1.23,21.6,0.020714,16,APO*,(2008 UW91)
(2008 UZ94),2.18988769,0.57218183,30.248139,159.6880211,248.2539676,0.9369,3.44,3.24,17.5,0.025989,30,APO*,(2008 UZ94)
(2008 UV99),1.1547838,0.151855095,17.1071228,176.897628,355.0876831,0.9794,1.33,1.24,19.93,0.016241,13,APO*,(2008 UV99)
(2008 VB1),1.27755705,0.275037286,10.3169074,136.9052795,50.3847351,0.9262,1.63,1.44,20.5,0.020366,27,APO*,(2008 VB1)
(2008 VL14),2.19819078,0.820516624,1.904058,246.4162996,37.5315616,0.3945,4,3.26,21.1,0.002229,17,APO*,(2008 VL14)
(2008 WN2),1.41796464,0.311871125,3.7471713,283.2995949,227.1610777,0.9757,1.86,1.69,20.7,0.048692,58,APO*,(2008 WN2)
(2008 WK61),1.65804418,0.418903583,17.1493042,212.5283068,253.4420841,0.9635,2.35,2.14,20.7,0.02251,12,APO*,(2008 WK61)
(2008 WQ63),1.73388037,0.607350972,0.9211628,228.7000941,317.4156189,0.6808,2.79,2.28,20.1,0.008053,25,APO*,(2008 WQ63)
(2008 WZ94),1.52261511,0.773899015,6.5279257,320.9266063,248.9424065,0.3443,2.7,1.88,20.2,0.041043,18,APO*,(2008 WZ94)
(2008 XN),2.16576727,0.588835948,5.3124523,63.5283611,97.9488941,0.8905,3.44,3.19,21.4,0.032265,18,APO*,(2008 XN)
(2008 XB1),1.3325964,0.37284745,12.6824583,84.0400317,270.3729585,0.8357,1.83,1.54,20.9,0.046228,23,APO*,(2008 XB1)
(2008 XA2),2.38067166,0.615562308,2.9388891,334.4468618,39.6573093,0.9152,3.85,3.67,21.4,0.009385,14,APO*,(2008 XA2)
(2008 XQ2),2.20094514,0.551878937,14.5262271,354.9976549,34.5870979,0.9863,3.42,3.27,20.3,0.00498,12,APO*,(2008 XQ2)
(2008 XW2),1.06503735,0.443843112,26.4550407,259.8798304,71.7877706,0.5923,1.54,1.1,20.6,0.03946,14,APO*,(2008 XW2)
(2008 YF),1.62783854,0.438295038,21.9713131,321.0523688,86.9890506,0.9144,2.34,2.08,20.9,0.002303,14,APO*,(2008 YF)
