Object,a (AU),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),H (mag),MOID (AU),ref,class,Object
141593 (2002 HK12),2.00222042,0.52876013,2.3510666,2.250295,307.0667631,0.9435,3.06,2.83,18.1,0.023735,107,APO*,141593 (2002 HK12)
141614 (2002 JV15),1.62334162,0.536118658,7.1824709,127.3401365,200.674964,0.753,2.49,2.07,19.4,0.039229,60,APO*,141614 (2002 JV15)
141851 (2002 PM6),1.19786897,0.850152102,19.179417,224.3876504,304.1474454,0.1795,2.22,1.31,17.7,0.037722,93,APO*,141851 (2002 PM6)
143404 (2003 BD44),1.96656238,0.605983793,2.6662566,89.1953095,181.3621883,0.7749,3.16,2.76,16.8,0.017869,117,APO*,143404 (2003 BD44)
143487 (2003 CR20),2.12505455,0.72958987,4.9892406,88.7253932,177.1625016,0.5746,3.68,3.1,18.7,0.000789,59,APO*,143487 (2003 CR20)
143649 (2003 QQ47),1.08536163,0.18699213,62.102444,104.9889446,0.9978312,0.8824,1.29,1.13,17.4,0.00268,96,APO*,143649 (2003 QQ47)
143651 (2003 QO104),2.1355162,0.524348339,11.6064519,183.5107635,58.2225807,1.0158,3.26,3.12,16,0.004785,234,APO*,143651 (2003 QO104)
143992 (2004 AF),1.97098951,0.554012292,27.1366954,57.935969,315.6801437,0.879,3.06,2.77,16,0.033542,96,APO*,143992 (2004 AF)
144332 (2004 DV24),1.42256006,0.289589786,55.9000326,186.3816351,171.1476621,1.0106,1.83,1.7,16.5,0.007053,142,APO*,144332 (2004 DV24)
144898 (2004 VD17),1.50799297,0.588648336,4.2235717,90.9446157,224.0334621,0.6203,2.4,1.85,18.8,0.001599,150,APO*,144898 (2004 VD17)
144900 (2004 VG64),0.96830326,0.655535493,36.2615984,43.9035632,208.8782417,0.3335,1.6,0.95,18.3,0.028709,84,ATE*,144900 (2004 VG64)
152560 (1991 BN),1.4433052,0.398177802,3.4451039,80.874042,268.8957114,0.8686,2.02,1.73,19,0.02077,83,APO*,152560 (1991 BN)
152561 (1991 RB),1.45449401,0.485646469,19.5823803,68.8696553,359.373197,0.7481,2.16,1.75,19,0.038049,25,APO*,152561 (1991 RB)
152637 (1997 NC1),0.86526187,0.208077292,16.7244356,16.5722217,96.5137998,0.6852,1.05,0.8,18,0.017347,24,ATE*,152637 (1997 NC1)
152664 (1998 FW4),2.51179394,0.721459912,3.4694056,81.0355313,357.7581734,0.6996,4.32,3.98,19.7,0.007748,89,APO*,152664 (1998 FW4)
152671 (1998 HL3),1.12884005,0.366067715,2.6795423,188.1154259,163.6853704,0.7156,1.54,1.2,20.1,0.045405,67,APO*,152671 (1998 HL3)
152680 (1998 KJ9),1.44799813,0.639787643,10.9291392,260.0389877,98.6137666,0.5216,2.37,1.74,19.4,0.005522,27,APO*,152680 (1998 KJ9)
152685 (1998 MZ),1.34661006,0.573152241,0.1460839,39.9010882,121.6272327,0.5748,2.12,1.56,19.3,0.001614,90,APO*,152685 (1998 MZ)
152754 (1999 GS6),1.19095218,0.497316894,2.02074,134.8695149,314.5160526,0.5987,1.78,1.3,19.1,0.018871,54,APO*,152754 (1999 GS6)
152770 (1999 RR28),1.87851709,0.653477539,7.1356831,284.3504543,178.3990457,0.6509,3.11,2.57,18.4,0.015654,80,APO*,152770 (1999 RR28)
152828 (1999 VT25),1.16201667,0.523167247,5.1486701,319.1552082,222.0045373,0.5541,1.77,1.25,21.2,0.048265,35,APO*,152828 (1999 VT25)
152978 (2000 GJ147),1.16208263,0.236557095,25.0074699,240.8085287,57.8754661,0.8872,1.44,1.25,19.6,0.025358,108,APO*,152978 (2000 GJ147)
153002 (2000 JG5),1.34058352,0.795693287,31.4617617,233.3553926,213.1519641,0.2739,2.41,1.55,18.2,0.02799,66,APO*,153002 (2000 JG5)
153201 (2000 WO107),0.91139037,0.780607815,7.7708636,213.6995561,69.2619096,0.2,1.62,0.87,19.3,0.003195,100,ATE*,153201 (2000 WO107)
153220 (2000 YN29),2.52139251,0.6765319,5.880845,138.1450099,67.8688264,0.8156,4.23,4,17.4,0.030113,50,APO*,153220 (2000 YN29)
153311 (2001 MG1),2.50086117,0.645813864,28.4150317,218.4944021,142.3627089,0.8858,4.12,3.95,17.2,0.038221,63,APO*,153311 (2001 MG1)
153814 (2001 WN5),1.71193853,0.466951588,1.9196015,44.5627058,277.5098135,0.9125,2.51,2.24,18.3,0.001548,97,APO*,153814 (2001 WN5)
153958 (2002 AM31),1.70309634,0.451647374,4.6445504,197.9377606,144.4003373,0.9339,2.47,2.22,18.3,0.031476,105,APO*,153958 (2002 AM31)
154019 (2002 CZ9),1.32561342,0.360258086,4.9710676,80.7935063,142.89387,0.8481,1.8,1.53,22,0.025477,11,APO*,154019 (2002 CZ9)
154269 (2002 SM),1.87156977,0.486318441,14.4300436,217.2048772,10.9119963,0.9614,2.78,2.56,17.8,0.023,60,APO*,154269 (2002 SM)
154275 (2002 SR41),1.08323278,0.490711668,11.5782473,258.1342901,247.8420805,0.5517,1.61,1.13,20.1,0.035905,72,APO*,154275 (2002 SR41)
154276 (2002 SY50),1.7042983,0.689397425,8.744361,99.3997092,34.2981692,0.5294,2.88,2.22,17.6,0.002972,86,APO*,154276 (2002 SY50)
154302 (2002 UQ3),1.71935533,0.56176346,28.819293,280.8963196,222.8258634,0.7535,2.69,2.25,17.6,0.039078,48,APO*,154302 (2002 UQ3)
154330 (2002 VX94),1.47657374,0.408662929,7.1612783,215.0781909,320.1881768,0.8732,2.08,1.79,18.1,0.032745,64,APO*,154330 (2002 VX94)
